DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
13/12/2019,5.82,,0.81,0,0,,48,33,,50,60,14.1,18.1,1,,,,,1
14/12/2019,6.04,,1.16,0,0,,56,45,,250,230,19.9,30,1,,,,,
15/12/2019,9.62,,0,0,0,,49,37,,270,280,21,38.9,,,,,,
16/12/2019,3.8,,0.1,0,0,,37,33,,310,260,12.1,19.9,1,,,,1,
17/12/2019,8.72,,0.9,0,0,,35,32,,60,50,17,25.9,1,,,,1,
18/12/2019,8.95,,0.03,0.7,0,,36,21,,300,310,19.9,31.1,1,,,,,1
19/12/2019,10.51,,0,0,0,,25,16,,280,270,19.9,32,,,,,,
20/12/2019,6.04,,0,0,0,,33,22,,360,290,12.1,18.1,,,,,,
21/12/2019,2.91,,0,0,0,,35,23,,20,10,13,19.9,,,,,,
22/12/2019,4.7,,0,0,0,,46,30,,220,230,14.1,21,,,,,,1
23/12/2019,4.7,,0,0,0,,57,41,,240,240,14.1,21,,,,,,
24/12/2019,5.82,,0,0,0,,47,36,,360,30,15,21,,,,,,
25/12/2019,3.58,,0,0,0,,47,32,,220,230,8.9,14.1,,,,,,
26/12/2019,5.82,,0,0,0,,46,36,,50,60,13,17,1,,,,,1
27/12/2019,4.47,,0,0,0,,54,46,,250,210,14.1,21,,,,,,
28/12/2019,4.03,,0,0,0,,51,43,,300,290,10.1,18.1,1,,,,,1
29/12/2019,4.92,,0.25,0,0,,44,39,,90,80,10.1,13,1,,,,,
30/12/2019,12.75,,0.74,0,0,,41,37,,70,60,25.1,38.9,1,,,,,
31/12/2019,5.14,,0.02,0,0,,45,36,,40,30,16.1,23.9,1,,,,,
